nad,folinic_acid,DNA,coa,RBS,peg,nucleo_mix,spermidin,pga,aa,trna,mg_gluta,hepes,camp,K_gluta,promoter,yield,std
0.033,0.0068,50,0.13,10,2,1.5,0.1,9.0,1.5,0.06,4.0,50,0.375,80.0,10,2.2158,0.2977
0.099,0.0068,50,0.26,10,2,1.5,0.1,9.0,1.5,0.02,4.0,50,0.075,80.0,10,2.299,0.2315
0.099,0.0068,50,0.078,10,2,0.75,0.1,9.0,1.5,0.2,4.0,50,0.075,80.0,10,2.4298,0.1328
0.033,0.0068,50,0.26,10,2,0.75,0.3,9.0,1.5,0.2,4.0,50,0.075,80.0,10,2.0686,0.3739
0.033,0.0068,50,0.026,10,2,1.5,0.1,9.0,1.5,0.2,4.0,50,0.225,80.0,10,2.5255,0.0443
0.033,0.0068,50,0.078,10,2,1.5,0.1,9.0,1.5,0.2,4.0,50,0.75,80.0,10,1.9917,0.4159
0.099,0.0068,50,0.026,10,2,0.75,0.1,9.0,1.5,0.2,4.0,50,0.375,80.0,10,2.1785,0.2694
0.165,0.0068,50,0.078,10,2,1.5,0.1,9.0,1.5,0.2,2.0,50,0.075,80.0,10,2.3614,0.1226
0.033,0.034,50,0.13,10,2,1.5,0.1,9.0,1.5,0.2,4.0,50,0.225,80.0,10,2.3123,0.1507
0.033,0.034,50,0.078,10,2,1.5,0.1,9.0,1.5,0.2,4.0,50,0.375,80.0,10,2.2234,0.2075
